name,address,tax_id,incorporation_date,phone,email,company_type,status,field_of_business,hosocongty_url,masothue_url,scraping_time
CÔNG TY TNHH DIÊCH VUÊ BAO VÊÊ LÔÊC TRƠI TOAN CÂU,"Số 04 Ngô Đức Kế, khu phố 3, Phường An Bình, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",1702131333,21/06/2018,0888955580,,,,Hoạt động bảo vệ tư nhân,https://hosocongty.vn/cong-ty-tnhh-diech-vue-bao-vee-loec-troi-toan-cau-com-1687415.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-diech-vue-bao-vee-loec-troi-toan-cau-mst-1702131333.html,2024-08-10 21:21:02
CÔNG TY TNHH MỘT THÀNH VIÊN MAY THỜI TRANG MINH TRÍ- CHI NHÁNH 3,"226A2 , Đường Tam Bình, Khu Phố 2, Phường Tam Phú, Quận Thủ Đức (Hết hiệu lực), Thành phố Hồ Chí Minh, Việt Nam",0305769336-005,30/05/2017,,,Chi nhánh,,(Mã ngành cũ) - Sản xuất hàng may sẵn (trừ trang phục),https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-may-thoi-trang-minh-tri-chi-nhanh-3-com-1561921.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-may-thoi-trang-minh-tri-chi-nhanh-3-mst-0305769336-005.html,2024-08-10 21:21:06
CÔNG TY TNHH XD CỌC BÊ TÔNG THANH SANG,"Số 18 đường số 8 LK 36, Khu 5A, Phường 4, Thành phố Sóc Trăng, Tỉnh Sóc Trăng, Việt Nam",2200727276,14/12/2016,0918024848,,,,(Mã ngành cũ) - Xây dựng nhà các loại,https://hosocongty.vn/cong-ty-tnhh-xd-coc-be-tong-thanh-sang-com-1482573.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-xd-coc-be-tong-thanh-sang-mst-2200727276.html,2024-08-10 21:21:27
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ XÂY DỰNG KIẾN VƯƠNG,"Số 139 Trần Hưng Đạo, Phường Phước Nguyên, Thành phố Bà Rịa, Bà Rịa, Tỉnh Vũng Tàu, Việt Nam",3502322743,14/12/2016,0916465079,,,,"Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng",https://hosocongty.vn/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xay-dung-kien-vuong-com-1482574.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-san-xuat-thuong-mai-dich-vu-xay-dung-kien-vuong-mst-3502322743.html,2024-08-10 21:21:38
CÔNG TY TNHH MỘT THÀNH VIÊN NGUYỄN NGHIÊM GIA LAI,"S1 Nguyễn Thượng Hiền, Xã Trà Đa, Thành phố Pleiku, Tỉnh Gia Lai, Việt Nam",5901050767,14/12/2016,0901904189,,Công ty TNHH một thành viên,,Trồng cây cà phê,https://hosocongty.vn/cong-ty-tnhh-mot-thanh-vien-nguyen-nghiem-gia-lai-com-1482575.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-mot-thanh-vien-nguyen-nghiem-gia-lai-mst-5901050767.html,2024-08-10 21:21:46
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT BÁNH MÌ HÀ NỘI,"Tổ dân phố 4, Phường Thành Nhất, TP.Buôn Ma Thuột, Tỉnh Đắk Lắk, Việt Nam",6001557080,14/12/2016,05003853609,,,,Bán buôn thực phẩm,https://hosocongty.vn/cong-ty-tnhh-thuong-mai-san-xuat-banh-mi-ha-noi-com-1482576.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-san-xuat-banh-mi-ha-noi-mst-6001557080.html,2024-08-10 21:21:54
CÔNG TY TNHH TƯ VẤN THIẾT KẾ ARCVIEW,"Số 79 đường 79, Phường Tân Quy, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0314157178,14/12/2016,0916345686,,,,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,https://hosocongty.vn/cong-ty-tnhh-tu-van-thiet-ke-arcview-com-1482577.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-tu-van-thiet-ke-arcview-mst-0314157178.html,2024-08-10 21:22:00
CÔNG TY TNHH ĐẦU TƯ KINH DOANH BẤT ĐỘNG SẢN THÀNH ĐẠT,"110 Cao Thắng, Phường 04, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0314157315,14/12/2016,,,,,"(Mã ngành cũ) - Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê",https://hosocongty.vn/cong-ty-tnhh-dau-tu-kinh-doanh-bat-dong-san-thanh-dat-com-1482578.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-kinh-doanh-thanh-phat-dat-mst-0314157315.html,2024-08-10 21:22:11
CÔNG TY TNHH THƯƠNG MẠI EVERON DIRECT,"218 Điện Biên Phủ, Phường 07, Quận 3, Thành phố Hồ Chí Minh, Việt Nam",0314157410,14/12/2016,,,,,"Bán buôn vải, hàng may sẵn, giày dép",https://hosocongty.vn/cong-ty-tnhh-thuong-mai-everon-direct-com-1482579.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-tnhh-thuong-mai-everon-direct-mst-0314157410.html,2024-08-10 21:22:17
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ DỊCH VỤ NEW SAIGON,"Nhà A9 khu Dân cư Kiều Đàm, số 793/43 Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",0314157530,14/12/2016,,,Công ty cổ phần,,Đại lý ô tô và xe có động cơ khác,https://hosocongty.vn/cong-ty-co-phan-dau-tu-va-dich-vu-new-saigon-com-1482580.htm,https://thuvienphapluat.vn/ma-so-thue/cong-ty-co-phan-dau-tu-va-dich-vu-new-saigon-mst-0314157530.html,2024-08-10 21:22:35
